block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1025,anticipation_pirt,-1,greater,ok,,0.0014006944265093208,0.5632183908045977,False,0.05,2000,499,1000,2878411857,0.026335000002291054
1000,1025,carryover_crt,0,two-sided,ok,,0.7228239033697994,0.017491254372813594,True,0.05,2000,250,250000,3649386063,0.026527600013650954
1000,1025,carryover_crt,1000,two-sided,ok,,0.2823668731200696,0.5092453773113443,False,0.05,2000,125,125000,4018372561,0.02164910000283271
1000,1025,carryover_crt,2500,two-sided,ok,,1.0410183856595174,0.05997001499250375,False,0.05,2000,83,43500,2634428637,0.012631699995836243
1000,1025,carryover_crt,5000,two-sided,ok,,1.5494594777409985,0.0384807596201899,True,0.05,2000,41,41000,646144002,0.01115220002247952
1000,1025,carryover_crt,10000,two-sided,ok,,-0.38217817470837717,0.7266366816591704,False,0.05,2000,22,22000,1274352452,0.010130699985893443
1000,1025,total_effect_crt,5000,greater,unavailable,no realized constant section contains focal events,,,False,0.05,2000,0,0,73661075,0.007994999992661178
1000,1026,anticipation_pirt,-1,greater,ok,,0.0028697833418431734,0.9420289855072463,False,0.05,2000,499,1000,3625308370,0.03391279999050312
1000,1026,carryover_crt,0,two-sided,ok,,0.5335551080172658,0.0769615192403798,False,0.05,2000,250,250000,2895792316,0.02640199998859316
1000,1026,carryover_crt,1000,two-sided,ok,,-0.2714718331797124,0.5367316341829086,False,0.05,2000,125,125000,4005486606,0.018852599983802065
1000,1026,carryover_crt,2500,two-sided,ok,,-0.5906151178177221,0.2613693153423288,False,0.05,2000,83,43500,903405137,0.014610199985327199
1000,1026,carryover_crt,5000,two-sided,ok,,-0.13809658116302126,0.8700649675162418,False,0.05,2000,41,41000,2369571065,0.011641699995379895
1000,1026,carryover_crt,10000,two-sided,ok,,0.16523999531939626,0.8770614692653673,False,0.05,2000,22,22000,3451574757,0.00978150000446476
1000,1026,total_effect_crt,5000,greater,ok,,6.5423598536551,0.4942528735632184,False,0.05,2000,1,1000,2184678935,0.008156700001563877
